country,state,latitude,longitude,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,local_time
South Georgia,South Georgia,-54.43393195,-36.4946518633466,1,195.27,0.0,0.0,20.92,0.07,0.5,0.55,0.0,2024-12-14 22:32:49
Grenada,Granada,37.1734995,-3.5995337,1,267.03,0.06,14.4,57.94,0.72,2.24,2.93,0.65,2024-12-15 01:32:49
Grenada,Grenada,33.7690049,-89.8084192,2,247.0,0.69,2.4,74.39,0.31,0.8,1.04,0.52,2024-12-14 18:32:49
Grenada,Grenada,41.6457629,-122.5230074,2,270.37,0.02,6.51,72.24,0.01,6.17,6.27,0.23,2024-12-14 16:32:49
Switzerland,Switzerland,55.0473993,24.2586917,2,236.99,0.0,1.59,78.68,0.71,0.5,0.92,0.21,2024-12-15 02:32:49
Switzerland,Switzerland,30.0760748,-81.6473133,2,253.68,0.96,3.34,80.11,1.52,1.65,2.34,0.74,2024-12-14 19:32:49
Switzerland,Switzerland,25.224427,55.1655176439452,3,223.64,0.0,1.41,128.75,2.53,24.28,90.32,0.0,2024-12-15 04:32:49
Sierra Leone,Freetown,8.479004,-13.26795,4,247.0,0.01,0.09,50.07,0.13,68.19,182.42,0.41,2024-12-15 00:32:49
Sierra Leone,Bumbuna Town,9.0432105,-11.7465822,4,293.73,0.01,0.17,43.63,0.14,54.45,119.53,0.82,2024-12-15 00:32:49
Sierra Leone,Sierra Leone,33.43010225,-111.565593734326,1,220.3,0.27,2.53,58.65,0.26,3.37,13.68,1.12,2024-12-14 17:32:49
Hungary,Hungary,41.9767629,-72.7789842,2,260.35,0.85,3.98,66.52,2.21,0.5,0.83,0.38,2024-12-14 19:32:49
South Georgia,South Georgia,-54.43393195,-36.4946518633466,1,195.27,0.0,0.0,20.92,0.07,0.5,0.55,0.0,2024-12-14 22:32:49
Grenada,Granada,37.1734995,-3.5995337,1,267.03,0.06,14.4,57.94,0.72,2.24,2.93,0.65,2024-12-15 01:32:49
Grenada,Grenada,33.7690049,-89.8084192,2,247.0,0.69,2.4,74.39,0.31,0.8,1.04,0.52,2024-12-14 18:32:49
Grenada,Grenada,41.6457629,-122.5230074,2,270.37,0.02,6.51,72.24,0.01,6.17,6.27,0.23,2024-12-14 16:32:49
Switzerland,Switzerland,55.0473993,24.2586917,2,236.99,0.0,1.59,78.68,0.71,0.5,0.92,0.21,2024-12-15 02:32:49
Switzerland,Switzerland,30.0760748,-81.6473133,2,253.68,0.96,3.34,80.11,1.52,1.65,2.34,0.74,2024-12-14 19:32:49
Switzerland,Switzerland,25.224427,55.1655176439452,3,223.64,0.0,1.41,128.75,2.53,24.28,90.32,0.0,2024-12-15 04:32:49
Sierra Leone,Freetown,8.479004,-13.26795,4,247.0,0.01,0.09,50.07,0.13,68.19,182.42,0.41,2024-12-15 00:32:49
Sierra Leone,Bumbuna Town,9.0432105,-11.7465822,4,293.73,0.01,0.17,43.63,0.14,54.45,119.53,0.82,2024-12-15 00:32:49
Sierra Leone,Sierra Leone,33.43010225,-111.565593734326,1,220.3,0.27,2.53,58.65,0.26,3.37,13.68,1.12,2024-12-14 17:32:49
Hungary,Hungary,41.9767629,-72.7789842,2,260.35,0.85,3.98,66.52,2.21,0.5,0.83,0.38,2024-12-14 19:32:49
South Georgia,South Georgia,-54.43393195,-36.4946518633466,1,191.93,0.0,0.01,18.77,0.04,0.5,0.61,0.0,2024-12-14 22:32:49
Grenada,Granada,37.1734995,-3.5995337,1,290.39,0.01,9.94,43.63,0.55,3.38,4.95,0.98,2024-12-15 01:32:49
Grenada,Grenada,33.7690049,-89.8084192,2,253.68,0.0,3.98,69.38,0.44,2.27,3.06,0.98,2024-12-14 18:32:49
Grenada,Grenada,41.6457629,-122.5230074,1,350.48,0.0,13.71,51.5,0.02,2.97,3.26,0.71,2024-12-14 16:32:49
Switzerland,Switzerland,55.0473993,24.2586917,2,243.66,0.0,1.48,75.1,1.79,0.51,1.05,0.97,2024-12-15 02:32:49
Switzerland,Switzerland,30.0760748,-81.6473133,2,280.38,0.0,8.65,75.82,1.94,3.06,4.32,0.5,2024-12-14 19:32:49
Switzerland,Switzerland,25.224427,55.1655176439452,4,453.95,8.83,58.95,37.91,30.04,33.18,123.53,1.09,2024-12-15 04:32:49
Sierra Leone,Freetown,8.479004,-13.26795,4,253.68,0.0,0.07,34.33,0.08,63.99,163.41,0.45,2024-12-15 00:32:49
Sierra Leone,Bumbuna Town,9.0432105,-11.7465822,4,337.12,0.0,1.01,17.52,0.12,62.95,121.69,0.5,2024-12-15 00:32:49
Sierra Leone,Sierra Leone,33.43010225,-111.565593734326,2,540.73,0.0,56.21,21.82,4.47,19.27,49.61,3.01,2024-12-14 17:32:49
Hungary,Hungary,41.9767629,-72.7789842,2,253.68,0.0,3.56,70.1,0.72,0.52,0.84,0.28,2024-12-14 19:32:49
South Georgia,South Georgia,-54.43393195,-36.4946518633466,1,191.93,0.0,0.01,18.77,0.04,0.5,0.61,0.0,2024-12-14 22:32:49
Grenada,Granada,37.1734995,-3.5995337,1,290.39,0.01,9.94,43.63,0.55,3.38,4.95,0.98,2024-12-15 01:32:49
Grenada,Grenada,33.7690049,-89.8084192,2,253.68,0.0,3.98,69.38,0.44,2.27,3.06,0.98,2024-12-14 18:32:49
Grenada,Grenada,41.6457629,-122.5230074,1,350.48,0.0,13.71,51.5,0.02,2.97,3.26,0.71,2024-12-14 16:32:49
Grenada,Grenada,12.11119355,-61.6865971157082,2,191.93,0.0,0.77,72.96,0.66,1.35,3.99,0.0,2024-12-14 20:32:49
Grenada,Grenada,12.1192425,-86.2453463,1,210.29,0.0,1.16,50.78,1.97,2.41,4.8,0.48,2024-12-14 18:32:49
Switzerland,Switzerland,55.0473993,24.2586917,2,243.66,0.0,1.48,75.1,1.79,0.51,1.05,0.97,2024-12-15 02:32:49
Switzerland,Switzerland,30.0760748,-81.6473133,2,280.38,0.0,8.65,75.82,1.94,3.06,4.32,0.5,2024-12-14 19:32:49
Switzerland,Switzerland,25.224427,55.1655176439452,4,453.95,8.83,58.95,37.91,30.04,33.18,123.53,1.09,2024-12-15 04:32:49
Switzerland,Switzerland,32.4276903,-81.0087199,1,293.73,0.0,9.17,40.05,0.31,3.12,3.86,0.44,2024-12-14 19:32:49
Sierra Leone,Freetown,8.479004,-13.26795,4,253.68,0.0,0.07,34.33,0.08,63.99,163.41,0.45,2024-12-15 00:32:49
Sierra Leone,Bumbuna Town,9.0432105,-11.7465822,4,337.12,0.0,1.01,17.52,0.12,62.95,121.69,0.5,2024-12-15 00:32:49
Sierra Leone,Sierra Leone,33.43010225,-111.565593734326,2,540.73,0.0,56.21,21.82,4.47,19.27,49.61,3.01,2024-12-14 17:32:49
Hungary,Hungary,41.9767629,-72.7789842,2,253.68,0.0,3.56,70.1,0.72,0.52,0.84,0.28,2024-12-14 19:32:49
Taiwan,Taiwan,23.5983227,120.835376944792,3,403.88,2.1,17.99,32.54,1.24,27.47,30.17,2.69,2024-12-15 08:32:49
Taiwan,Taiwan,25.2401252,55.1854322047297,4,453.95,8.83,58.95,37.91,30.04,33.18,123.53,1.09,2024-12-15 04:32:49
Taiwan,Taiwan,-6.3315938,146.3632284,1,176.91,0.01,0.09,13.77,0.04,0.5,0.53,0.0,2024-12-15 10:32:49
Taiwan,Taiwán,10.2804258,-84.9656911,1,178.58,0.0,0.51,32.54,7.39,1.75,1.82,0.27,2024-12-14 18:32:49
Barbados,Barbados,13.1899463,-59.5592151097541,1,260.35,0.0,5.4,47.92,2.95,1.62,2.64,12.54,2024-12-14 20:32:49
Barbados,Barbados,-19.5180038,-40.5786068,1,393.87,0.0,4.76,17.17,1.79,6.03,11.21,1.44,2024-12-14 21:32:49
Barbados,Barbados,-25.3818203,-48.224133,1,155.21,0.0,0.5,8.23,0.05,1.1,1.94,0.41,2024-12-14 21:32:49
Barbados,Barbados,-19.5248148,-40.5823626,1,393.87,0.0,4.76,17.17,1.79,6.03,11.21,1.44,2024-12-14 21:32:49
Barbados,Barbados,5.0303683,-74.8815116,1,257.02,0.03,4.97,8.49,0.36,3.98,5.38,2.44,2024-12-14 19:32:49
Ivory Coast,Ivory Coast,25.2149241,55.1713612141582,4,554.09,16.54,59.63,44.7,35.29,34.86,128.99,1.12,2024-12-15 04:32:49
Tunisia,Tunis,36.8002068,10.1857757,2,387.19,0.01,7.2,29.68,1.94,21.42,41.7,0.8,2024-12-15 01:32:49
Tunisia,Borj Cédria,36.6964922,10.3857098,3,694.28,0.23,25.71,16.63,12.99,43.24,63.34,2.25,2024-12-15 01:32:49
Italy,Italy,32.1840381,-96.8847194,2,236.99,0.0,4.07,82.97,2.18,2.43,4.02,0.65,2024-12-14 18:32:49
Italy,Italy,-25.148238,46.7608897,1,230.31,0.16,0.54,23.25,0.18,2.26,4.12,0.99,2024-12-15 03:32:49
Italy,Town of Italy,42.611735,-77.2919246,1,247.0,0.0,3.51,57.94,1.57,0.5,0.59,0.25,2024-12-14 19:32:49
Italy,Italy,33.4485003,-79.5408964,1,320.44,0.0,9.43,28.25,0.16,3.24,4.48,0.39,2024-12-14 19:32:49
Italy,Italy,25.22217815,55.1653703578346,4,453.95,8.83,58.95,37.91,30.04,33.18,123.53,1.09,2024-12-15 04:32:49
Benin,Benin City,6.3330586,5.6221058,3,1188.28,2.01,19.02,4.87,3.34,43.09,61.2,6.84,2024-12-15 01:32:49
Benin,Karaağaç,38.430336,40.864254,2,253.68,0.64,6.08,52.93,1.1,11.81,12.32,3.71,2024-12-15 03:32:49
Benin,Бенин,53.7545091,25.8337996,2,247.0,0.0,1.91,77.96,0.73,1.09,1.83,1.33,2024-12-15 03:32:49
Indonesia,Pulau Bali,-8.4560181,115.270385511912,1,343.8,0.22,2.27,39.7,0.63,2.94,3.52,1.54,2024-12-15 08:32:49
Indonesia,Flores,-8.50998605,120.598150147635,1,303.75,0.07,0.9,21.99,0.16,1.55,1.77,0.59,2024-12-15 08:32:49
Indonesia,Indonesia,-8.1153337,115.1083287,1,363.83,0.04,0.62,53.64,0.29,5.84,6.9,0.45,2024-12-15 08:32:49
Cape Verde,Cape Verde,17.05552855,-25.1723049113636,2,205.28,0.0,0.13,90.12,0.19,4.04,16.02,0.0,2024-12-14 23:32:49
Laos,Laos,10.244733,123.2310396,1,191.93,0.09,0.68,48.64,0.72,2.51,5.44,0.99,2024-12-15 08:32:49
Laos,Güzle,40.499847,37.670719,1,240.33,0.03,5.36,54.36,1.54,2.71,3.68,2.72,2024-12-15 03:32:49
Caribbean Netherlands,Caribbean Netherlands,17.56187,-63.1380042496403,2,208.62,0.0,0.28,73.67,0.49,1.08,3.2,0.0,2024-12-14 20:32:49
Uganda,Uganda,11.3163165,4.948482,4,383.85,0.0,1.22,54.36,0.7,56.84,158.23,3.01,2024-12-15 01:32:49
Uganda,Uganda,25.22039845,55.176060368274,4,554.09,16.54,59.63,44.7,35.29,34.86,128.99,1.12,2024-12-15 04:32:49
Uganda,Uganda,55.60240605,12.5821042265937,3,1094.82,22.13,71.29,0.0,18.36,44.12,49.07,5.89,2024-12-15 01:32:49
Andorra,Andorra la Vella,42.5069391,1.5212467,1,243.66,0.0,1.99,52.21,0.75,1.51,1.66,5.0,2024-12-15 01:32:49
Andorra,Andorra,40.9753365,-0.4442782,1,257.02,0.0,1.84,35.05,0.12,3.06,3.44,3.77,2024-12-15 01:32:49
Andorra,Andorra,40.072611,-75.2312899,2,267.03,0.0,4.63,80.82,2.98,1.46,2.38,0.96,2024-12-14 19:32:49
Andorra,Andorra,-33.0781661,-71.5834111,1,280.38,0.02,4.41,17.35,0.89,2.73,6.17,0.61,2024-12-14 21:32:49
Andorra,Andorra,42.6148017,2.0967819,1,257.02,0.0,2.4,39.7,0.08,0.5,0.62,0.9,2024-12-15 01:32:49
